DialogueID,Level,SequenceNo,Phase,LineType,SimulationResult,SpeakerId,SpeakerName,CharacterImage,DialogueText,ChoiceGroup,ChoiceKey,ChoiceText,NextAction,Enabled,OriginalOrder,DevComment,SourceRow,Notes
DLG_2_CHOICE_Any_001,stage_002,301,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,작전지로 이동하지.,Campaign2_Choice,A,작전지로 이동하지.,ShowSortieLine,TRUE,5,#4 선택 대사 A,30,
DLG_2_CHOICE_Any_002,stage_002,302,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign2_Choice,B,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,6,#4 선택 대사 B,31,
DLG_2_SORTIE_Any_001,stage_002,401,Sortie,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,"네, 대장. 작전지로 출발합니다. 알렌을 위해!",,,,NextStage,TRUE,7,#5 출정 다이얼로그,32,
DLG_3_RESULT_PerfectWin_001,stage_003,101,Result,Line,PerfectWin,Eliza,부관 엘리자,Eliza_Resistance_Joy,완벽한 작전이었습니다. 적을 꿰뚫는 최적의 판단이었요.,,,,Next,TRUE,0,#1 완전 승리 다이얼로그,33,
DLG_3_RESULT_CivilianDeadWin_002,stage_003,101,Result,Line,CivilianDeadWin,Player,당신,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,1,#1 민간인 희생 다이얼로그,34,
DLG_3_RESULT_CivilianDeadWin_003,stage_003,102,Result,Line,CivilianDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,2,#1 민간인 희생 다이얼로그,35,
DLG_3_RESULT_AllyDeadWin_004,stage_003,101,Result,Line,AllyDeadWin,Player,당신,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,3,#2 대원 희생 다이얼로그,36,
DLG_3_RESULT_AllyDeadWin_005,stage_003,102,Result,Line,AllyDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,4,#2 대원 희생 다이얼로그,37,
DLG_3_BRIEFING_Any_001,stage_003,201,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,긴급 정보입니다. 협정이 곧 열린다는군요.,,,,Next,TRUE,8,#3 브리핑 다이얼로그,38,
DLG_3_BRIEFING_Any_002,stage_003,202,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair70,"내용을 보니, 알렌에게 큰 걸림돌이 되겠군요. 반드시 막아야 합니다.",,,,Next,TRUE,9,#3 브리핑 다이얼로그,39,
DLG_3_BRIEFING_Any_003,stage_003,203,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,…작전을 위해 더 많은 손이 필요하겠어. 대원 한명을 더 충원하지.,,,,Next,TRUE,10,#3 브리핑 다이얼로그,40,
DLG_3_BRIEFING_Any_004,stage_003,204,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,(그 협정이 체결된다면 칼트가 우리를 철저히 짓밟겠지.),,,,Next,TRUE,11,#3 브리핑 다이얼로그,41,
DLG_3_BRIEFING_Any_005,stage_003,205,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,"(이번엔 달라, 내가 먼저 움직인다.)",,,,Next,TRUE,12,#3 브리핑 다이얼로그,42,
DLG_3_BRIEFING_Any_006,stage_003,206,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,작전지로 이동하지.,,,,Next,TRUE,13,#3 브리핑 다이얼로그,43,
DLG_3_CHOICE_Any_001,stage_003,301,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,선택지 A가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign3_Choice,A,선택지 A가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,5,#4 선택 대사 A,44,
DLG_3_CHOICE_Any_002,stage_003,302,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign3_Choice,B,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,6,#4 선택 대사 B,45,
DLG_3_SORTIE_Any_001,stage_003,401,Sortie,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,"네, 대장. 작전지로 출발합니다. 알렌을 위해!",,,,NextStage,TRUE,7,#5 출정 다이얼로그,46,
DLG_4_RESULT_PerfectWin_001,stage_004,101,Result,Line,PerfectWin,Eliza,부관 엘리자,Eliza_Resistance_Joy,대체 몇 수 앞을… 대장은 늘 새로운 길을 보여주는군요.,,,,Next,TRUE,0,#1 완전 승리 다이얼로그,47,
DLG_4_RESULT_CivilianDeadWin_002,stage_004,101,Result,Line,CivilianDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,민간인이 등장하지 않는 스테이지입니다. (더미 데이터),,,,Next,FALSE,1,#1 민간인 희생 다이얼로그,48,
DLG_4_RESULT_AllyDeadWin_003,stage_004,101,Result,Line,AllyDeadWin,Player,당신,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,3,#2 대원 희생 다이얼로그,49,
DLG_4_RESULT_AllyDeadWin_004,stage_004,102,Result,Line,AllyDeadWin,Player,당신,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,4,#2 대원 희생 다이얼로그,50,
DLG_4_BRIEFING_Any_001,stage_004,201,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair70,작전지에서 확보한 협정 참가 리스트를 확인해보죠. 칼트의 총리 ...,,,,Next,TRUE,8,#3 브리핑 다이얼로그,51,
DLG_4_BRIEFING_Any_002,stage_004,202,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair70,"총리가 협정에 개입했다면, 단순한 협상은 아니겠군. 반드시 막아야 해.",,,,Next,TRUE,9,#3 브리핑 다이얼로그,52,
DLG_4_BRIEFING_Any_003,stage_004,203,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair70,이번엔 저도 전투에 나서겠습니다.,,,,Next,TRUE,10,#3 브리핑 다이얼로그,53,
DLG_4_BRIEFING_Any_004,stage_004,204,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair70,지원사격으로 전황을 유리하게 바꿔 놓을 수 있어요.,,,,Next,TRUE,11,#3 브리핑 다이얼로그,54,
DLG_4_CHOICE_Any_001,stage_004,301,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,"그래, 헛된 희생이 줄겠군.",Campaign4_Choice,A,"그래, 헛된 희생이 줄겠군.",ShowSortieLine,TRUE,5,#4 선택 대사 A,55,
DLG_4_CHOICE_Any_002,stage_004,302,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign4_Choice,B,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,6,#4 선택 대사 B,56,
DLG_4_SORTIE_Any_001,stage_004,401,Sortie,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,"네, 대장. 작전지로 출발합니다. 알렌을 위해!",,,,NextStage,TRUE,7,#5 출정 다이얼로그,57,
DLG_5_RESULT_PerfectWin_001,stage_005,101,Result,Line,PerfectWin,Eliza,부관 엘리자,Eliza_Resistance_Joy,전장을 희생 없이 끝낼 수 있다니… 믿기 어렵군요. 대단합니다 대장.,,,,Next,TRUE,0,#1 완전 승리 다이얼로그,58,
DLG_5_RESULT_CivilianDeadWin_002,stage_005,101,Result,Line,CivilianDeadWin,Player,당신,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,1,#1 민간인 희생 다이얼로그,59,
DLG_5_RESULT_CivilianDeadWin_003,stage_005,102,Result,Line,CivilianDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,2,#1 민간인 희생 다이얼로그,60,
DLG_5_RESULT_AllyDeadWin_004,stage_005,101,Result,Line,AllyDeadWin,Player,당신,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,3,#2 대원 희생 다이얼로그,61,
DLG_5_RESULT_AllyDeadWin_005,stage_005,102,Result,Line,AllyDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,4,#2 대원 희생 다이얼로그,62,
DLG_5_BRIEFING_Any_001,stage_005,201,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,"총리가 20시에 연설에 나섭니다. 절호의 기회지만, 위험도 따르겠죠.",,,,Next,TRUE,8,#3 브리핑 다이얼로그,63,
DLG_5_BRIEFING_Any_002,stage_005,202,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,"협정 당일, 병력을 분산시키려면 미리 놈들의 기지를 타격해야 해.",,,,Next,TRUE,9,#3 브리핑 다이얼로그,64,
DLG_5_BRIEFING_Any_003,stage_005,203,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,맞습니다. 다음 전투에서 지원사격으로 균열을 만들어보겠습니다.,,,,Next,TRUE,10,#3 브리핑 다이얼로그,65,
DLG_5_CHOICE_Any_001,stage_005,301,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,"그래, 희생 없이 승리해보자.",Campaign5_Choice,A,"그래, 희생 없이 승리해보자.",ShowSortieLine,TRUE,5,#4 선택 대사 A,66,
DLG_5_CHOICE_Any_002,stage_005,302,Choice,Choice,Any,Player,당신,Eliza_Resistance_Despair30,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign5_Choice,B,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,6,#4 선택 대사 B,67,
DLG_5_SORTIE_Any_001,stage_005,401,Sortie,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,"네, 대장. 작전지로 출발합니다. 알렌을 위해!",,,,NextStage,TRUE,7,#5 출정 다이얼로그,68,
DLG_6_RESULT_PerfectWin_001,stage_006,101,Result,Line,PerfectWin,Eliza,부관 엘리자,Eliza_Resistance_Joy,대체 어떻게 해내신 겁니까? 대장은 정말 미래라도 본 겁니까? 대단합니다.,,,,Next,TRUE,0,#1 완전 승리 다이얼로그,69,
DLG_6_RESULT_CivilianDeadWin_002,stage_006,101,Result,Line,CivilianDeadWin,Player,당신,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,1,#1 민간인 희생 다이얼로그,70,
DLG_6_RESULT_CivilianDeadWin_003,stage_006,102,Result,Line,CivilianDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,2,#1 민간인 희생 다이얼로그,71,
DLG_6_RESULT_AllyDeadWin_004,stage_006,101,Result,Line,AllyDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,(희생을 막지 못한다면… 끝없는 전투를 반복할 이유가 없다. 집중하자.),,,,Next,TRUE,3,#2 대원 희생 다이얼로그,72,
DLG_6_RESULT_AllyDeadWin_005,stage_006,102,Result,Line,AllyDeadWin,Eliza,부관 엘리자,Eliza_Resistance_Sad,…다음 임무를 전하겠습니다.,,,,Next,TRUE,4,#2 대원 희생 다이얼로그,73,
DLG_6_BRIEFING_Any_001,stage_006,201,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Resistance_Despair30,"이로써, 후방 병력이 빠지며, 협정 당일 보안이 허술해졌습니다.",,,,Next,TRUE,8,#3 브리핑 다이얼로그,74,
DLG_6_BRIEFING_Any_002,stage_006,202,Briefing,Line,Any,Player,당신,Eliza_Resistance_Despair30,"연설장에 들어가려면 귀족 초대장이 필요하군, 쉽지 않겠어.",,,,Next,TRUE,9,#3 브리핑 다이얼로그,75,
DLG_6_BRIEFING_Any_003,stage_006,203,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Noble,제가 귀족으로 위장해서 받아오겠습니다.,,,,Next,TRUE,10,#3 브리핑 다이얼로그,76,
DLG_6_BRIEFING_Any_004,stage_006,204,Briefing,Line,Any,Player,당신,Eliza_Noble,자네가 직접?,,,,Next,TRUE,11,#3 브리핑 다이얼로그,77,
DLG_6_BRIEFING_Any_005,stage_006,205,Briefing,Line,Any,Eliza,부관 엘리자,Eliza_Noble,"네, 대장의 작전을 믿습니다. 저도 무사할거에요.",,,,Next,TRUE,12,#3 브리핑 다이얼로그,78,
DLG_6_CHOICE_Any_001,stage_006,301,Choice,Choice,Any,Player,당신,Eliza_Noble,"그래, 무사히 돌아오도록.",Campaign6_Choice,A,"그래, 무사히 돌아오도록.",ShowSortieLine,TRUE,5,#4 선택 대사 A,79,
DLG_6_CHOICE_Any_002,stage_006,302,Choice,Choice,Any,Player,당신,Eliza_Noble,"이번 임무, 잘 부탁하지.",Campaign6_Choice,B,"이번 임무, 잘 부탁하지.",ShowSortieLine,TRUE,6,#4 선택 대사 B,80,
DLG_6_SORTIE_Any_001,stage_006,401,Sortie,Line,Any,Eliza,부관 엘리자,Eliza_Noble,네…알렌을 위해!,,,,NextStage,TRUE,7,#5 출정 다이얼로그,81,
DLG_7_A_RESULT_PerfectWin_001,stage_007,101,Result,Line,PerfectWin,Eliza,부관 엘리자,Eliza_Noble,"덕분에 살아남았습니다…
대장, 마치 이 순간을 여러 번 겪어본 듯한 판단이었습니다. 대단하십니다.",,,,Next,TRUE,0,#1 완전 승리 다이얼로그 (부관 생존),82,Original 7-A mapped to Campaign 7 to match InGameUIData level.
DLG_7_A_BRIEFING_Any_001,stage_007,201,Briefing,Line,Any,Player,당신,Eliza_Noble,…고맙군.,,,,Next,TRUE,8,#3 브리핑 다이얼로그,83,Original 7-A mapped to Campaign 7 to match InGameUIData level.
DLG_7_A_BRIEFING_Any_002,stage_007,202,Briefing,Line,Any,Player,당신,Eliza_Noble,"총리를 제거해, 협정을 저지하면 알렌의 운명이 달라진다.",,,,Next,TRUE,9,#3 브리핑 다이얼로그,84,Original 7-A mapped to Campaign 7 to match InGameUIData level.
DLG_7_A_CHOICE_Any_001,stage_007,301,Choice,Choice,Any,Player,당신,Eliza_Noble,마지막 전투를 준비하자.,Campaign7_Choice,A,마지막 전투를 준비하자.,ShowSortieLine,TRUE,5,#4 선택 대사 A,85,Original 7-A mapped to Campaign 7 to match InGameUIData level.
DLG_7_A_CHOICE_Any_002,stage_007,302,Choice,Choice,Any,Player,당신,Eliza_Noble,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign7_Choice,B,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,6,#4 선택 대사 B,86,Original 7-A mapped to Campaign 7 to match InGameUIData level.
DLG_7_A_SORTIE_Any_001,stage_007,401,Sortie,Line,Any,Eliza,부관 엘리자,Eliza_Noble,알렌을 위해!,,,,NextStage,TRUE,7,#5 출정 다이얼로그,87,Original 7-A mapped to Campaign 7 to match InGameUIData level.
DLG_7_B_RESULT_CivilianDeadWin_001,stage_008,101,Result,Line,CivilianDeadWin,Player,당신,Eliza_Noble,(…),,,,Next,TRUE,1,#1 민간인 희생 다이얼로그 (부관 희생),88,Original 7-B mapped to Campaign 8 to match InGameUIData level.
DLG_7_B_BRIEFING_Any_001,stage_008,201,Briefing,Line,Any,Player,당신,Eliza_Noble,"(총리만 제거해, 협정을 저지하면 알렌의 운명이 달라진다.)",,,,Next,TRUE,8,#3 브리핑 다이얼로그,89,Original 7-B mapped to Campaign 8 to match InGameUIData level.
DLG_7_B_CHOICE_Any_001,stage_008,301,Choice,Choice,Any,Player,당신,Eliza_Noble,(마지막 전투를 준비하자.),Campaign8_Choice,A,(마지막 전투를 준비하자.),ShowSortieLine,TRUE,5,#4 선택 대사 A,90,Original 7-B mapped to Campaign 8 to match InGameUIData level.
DLG_7_B_CHOICE_Any_002,stage_008,302,Choice,Choice,Any,Player,당신,Eliza_Noble,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),Campaign8_Choice,B,선택지 B가 등장하지 않는 스테이지입니다. (더미 데이터),ShowSortieLine,FALSE,6,#4 선택 대사 B,91,Original 7-B mapped to Campaign 8 to match InGameUIData level.
DLG_7_B_SORTIE_Any_001,stage_008,401,Sortie,Line,Any,Player,당신,Eliza_Noble,-,,,,NextStage,FALSE,7,#5 출정 다이얼로그,92,Original 7-B mapped to Campaign 8 to match InGameUIData level.
